;;;
Paper;Título;¿Impreso?;Observaciones
brainsci-08-00199.pdf;EEG Waveform Analysis of P300 ERP with Applications to Brain Computer Interfaces;Si;
P300 dataset of 8 healthy subjects.pdf;P300 dataset of 8 healthy subjects.pdf;Si;Kaggle
fncom-13-00043.pdf;Histogram of Gradient Orientations of Signal Plots Applied to P300 Detection;Si;
UMA-BCI Speller.pdf;UMA-BCI SPELLER: PLATAFORMA DE COMUNICACIÓN DE FÁCIL CONFIGURACIÓN BASADA EN EL BCI2000 P300 SPELLER;No;
P300 Speller with patients with ALS;P300 Speller with patients with ALS;No;
Picton 1992;The P300 wave of the human Event-Related- Potential.;No;
vucic2020.pdf;P300 jitter latency, brain-computer interface and amyotrophic lateral sclerosis;;
fnins-07-00267.pdf;MEGandEEGdataanalysiswithMNE-Python;No;
;;;
;;;
