P1;0.547787611;36;;;;;;;;;;;;
P2;0.503539823;36;;;;;;;;;;;;
P3;0.557990868;36;;;;;;;;;;;;
P4;0.548858447;36;;;;;P1;P2;P3;P4;;;;
P1;0.525663717;60;;;;;0;0;0;0;;;;
P2;0.507964602;60;;;;;0.238168527;0.221823711;0.203646302;0.194630655;;;;
P3;0.603652968;60;;;;;0.547787611;0.503539823;0.557990868;0.548858447;0.309619084;0.281716112;0.354344566;0.354227792
P4;0.539726027;60;;;;;0.552212389;0.574336283;0.612785388;0.580821918;0.004424778;0.07079646;0.05479452;0.031963471
P1;0.525663717;72;;;;;0.525663717;0.507964602;0.603652968;0.539726027;-0.026548672;-0.066371681;-0.00913242;-0.041095891
P2;0.574336283;72;;;;;0.525663717;0.574336283;0.475799087;0.521461187;0;0.066371681;-0.127853881;-0.01826484
P3;0.475799087;72;;;;;0.574336283;0.530088496;0.512328767;0.512328767;0.048672566;-0.044247787;0.03652968;-0.00913242
P4;0.521461187;72;;;;;0.574336283;0.547787611;0.516894977;0.516894977;0;0.017699115;0.00456621;0.00456621
P1;0.574336283;84;;;;;0.578761062;0.578761062;0.612785388;0.51258384;0.004424779;0.030973451;0.095890411;-0.004311137
P2;0.530088496;84;;;;;0.614159292;0.552212389;0.599086758;0.526027397;0.03539823;-0.026548673;-0.01369863;0.013443557
P3;0.512328767;84;;;;;;;;;;;;
P4;0.512328767;84;;;;;;;;;;;;
P1;0.574336283;96;;;;;;;;;;;;
P2;0.547787611;96;;;;;;;;;;;;
P3;0.516894977;96;;;;;;;;;;;;
P4;0.516894977;96;;;;;;;;;;;;
P1;0.578761062;108;;;;;;;;;;;;
P2;0.578761062;108;;;;;;;;;;;;
P3;0.612785388;108;;;;;;;;;;;;
P4;0.516894977;108;;;;;;;;;;;;
P1;0.614159292;120;;;;;;;;;;;;
P2;0.552212389;120;;;;;;;;;;;;
P3;0.599086758;120;;;;;;;;;;;;
P4;0.526027397;120;;;;;;;;;;;;
P1;0.552212389;48;;;;;;;;;;;;
P2;0.574336283;48;;;;;;;;;;;;
P3;0.612785388;48;;;;;;;;;;;;
P4;0.580821918;48;;;;;;;;;;;;
