, Paciente meta_P300S01-lag2
Eventos coincidentes encontrados (sin tmin & tmax), 3994
IDs de los eventos, 2
Eventos coincidentes encontrados (con tmin:0 & tmax:0.8), 4040
IDs de los eventos, 12
getlabels Nohits -> epochs, 3333
getlabels Nohits -> Time, 201
getlabels Hits -> epochs, 671
getlabels Hits -> Time, 201
nohit_precision:, 0.9624505928853755
nohit_recall:, 0.974
nohit_f1_score:, 0.9681908548707753
nohit_support:, 1000
hit_precision:, 0.8645833333333334
hit_recall:, 0.8137254901960784
hit_f1_score:, 0.8383838383838385
hit_support:, 204
