Muestra;Coef_erp;acc_P300S01;acc_P300S02;acc_P300S03;acc_P300S06
1;1;76.64902998;41.48848684;70.85090324;72.86076849
2;2;76.64902998;41.48848684;70.85090324;72.86076849
3;3;76.64902998;41.48848684;70.85090324;72.86076849
4;4;76.64902998;41.48848684;70.85090324;72.86076849
5;5;76.64902998;41.48848684;70.85090324;72.86076849
6;6;76.64902998;41.48848684;70.85090324;72.86076849
7;7;76.64902998;41.48848684;70.85090324;72.86076849
8;8;76.64902998;41.48848684;70.85090324;72.86076849
9;9;76.64902998;41.48848684;70.85090324;72.86076849
10;10;76.64902998;41.48848684;70.85090324;72.86076849
11;11;76.64902998;41.48848684;70.85090324;72.86076849
12;12;76.64902998;41.48848684;70.85090324;72.86076849
13;13;76.64902998;41.48848684;70.85090324;72.86076849
14;14;76.64902998;41.48848684;70.85090324;72.86076849
15;15;76.64902998;41.48848684;70.85090324;72.86076849
16;16;76.64902998;41.48848684;70.85090324;72.86076849
17;17;76.64902998;41.48848684;70.85090324;72.86076849
18;18;76.64902998;41.48848684;70.85090324;72.86076849
19;19;76.64902998;41.48848684;70.85090324;72.86076849
20;20;76.64902998;41.48848684;70.85090324;72.86076849
