Muestra;secuencia;P300S01;P300S02;P300S03;P300S06
1;1;0.092610619;0.060707965;0.080819933;0.010013619
2;2;0.19221239;0.224159292;0.21639865;0.240313226
3;3;0.504424779;0.53539823;0.497716895;0.525114155
4;4;0.5;0.495575221;0.534246575;0.438356164
5;5;0.522123894;0.522123894;0.570776256;0.470319635
6;6;0.588495575;0.597345133;0.639269406;0.611872146
7;7;0.632743363;0.646017699;0.639269406;0.538812785
8;8;0.637168142;0.668141593;0.703196347;0.557077626
9;9;0.747787611;0.730088496;0.712328767;0.739726027
10;10;0.818584071;0.747787611;0.799086758;0.726027397
