Muestra;secuencia;P300S01;P300S02;P300S03;P300S06;;;;;;;;
1;1;0.12785422;0.06187584;0.091965742;0.075841239;;;;;0.57248732;0.6325871;0.64889511;0.605413093
2;2;0.198168527;0.221823711;0.203646302;0.264630655;;;;;0.67785422;0.6187584;0.61965742;0.75841239
3;3;0.547787611;0.503539823;0.557990868;0.548858447;;;;;;;;
4;4;0.552212389;0.574336283;0.612785388;0.580821918;;;;;;;;
5;5;0.525663717;0.507964602;0.603652968;0.539726027;;;;;;;;
6;6;0.525663717;0.574336283;0.475799087;0.521461187;;;;;;;;
7;7;0.574336283;0.530088496;0.512328767;0.512328767;;;;;;;;
8;8;0.574336283;0.547787611;0.516894977;0.516894977;;;;;;;;
9;9;0.578761062;0.578761062;0.612785388;0.51258384;;;;;;;;
10;10;0.614159292;0.552212389;0.599086758;0.526027397;;;;;;;;
