Muestra;secuencia;P300S01;P300S02;P300S03;P300S06;;;;;;
1;1;0.080313226;0.17639865;0.154159292;0.18221239;;;;;;
2;2;0.38352999;0.363164354;0.342678079;0.312496334;;;;;;
3;3;0.756637168;0.712389381;0.771689498;0.767123288;;;;;;
4;4;0.747787611;0.778761062;0.789954338;0.780821918;;;;;;
5;5;0.734513274;0.721238938;0.799086758;0.703196347;;;;;;
6;6;0.725663717;0.769911504;0.657534247;0.735159817;;;;;;
7;7;0.774336283;0.721238938;0.716894977;0.716894977;;;;;;
8;8;0.778761062;0.743362832;0.707762557;0.689497717;;;;;;
9;9;0.783185841;0.783185841;0.821917808;0.735159817;;;;;;
10;10;0.809734513;0.752212389;0.767123288;0.726027397;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
