Muestra;secuencia;P300S01;P300S02;P300S03;P300S04;P300S05;P300S06;P300S07;P300S08
1;1;0;0;0;0;0;0;0;0
2;2;0;0;0;0;0.7079;0;0;0
3;3;0.7477;0.6991;0.7534;0.8036;0.7256;0.7397;0.7351;0.7077
4;4;0.7566;0.7787;0.7945;0.694;0.7389;0.7853;0.7397;0.7579
5;5;0.73;0.6991;0.8036;0.7625;0.7831;0.7168;0.7671;0.7123
6;6;0.716;0.7699;0.6894;0.7579;0.7345;0.7214;0.7716;0.7442
7;7;0.761;0.73;0.7077;0.7031;0.7345;0.7077;0.7123;0.6164
8;8;0.7699;0.7389;0.7168;0.7123;0.7477;0.6757;0.7351;0.7168
9;9;0.7787;0.7743;0.8082;0.7762;0.7345;0.7397;0.6666;0.7671
10;10;0.8097;0.761;0.7488;0.7762;0.7699;0.7305;0.7671;0.7351
