P1, 0.7079646017699115,
P2, 0.6238938053097345,
P3, 0.7031963470319634,
P4, 0.6986301369863014,
P1, 0.7079646017699115, 36,
P2, 0.6238938053097345, 36,
P3, 0.7031963470319634, 36,
P4, 0.6986301369863014, 36,
P1, 0.7035398230088495, 48,
P2, 0.7212389380530974, 48,
P3, 0.7853881278538812, 48,
P4, 0.7488584474885844, 48,
P1, 0.7212389380530974, 60,
P2, 0.6946902654867256, 60,
P3, 0.8082191780821918, 60,
P4, 0.7031963470319634, 60,
P1, 0.7168141592920354, 72,
P2, 0.7477876106194691, 72,
P3, 0.634703196347032, 72,
P4, 0.7442922374429224, 72,
P1, 0.7079646017699115, 84,
P2, 0.7123893805309734, 84,
P3, 0.6940639269406392, 84,
P4, 0.7031963470319634, 84,
P1, 0.7300884955752213, 96,
P2, 0.7345132743362832, 96,
P3, 0.7534246575342466, 96,
P4, 0.6438356164383562, 96,
P1, 0.7920353982300885, 108,
P2, 0.7831858407079646, 108,
P3, 0.817351598173516, 108,
P4, 0.6575342465753424, 108,
P1, 0.7522123893805309, 120,
P2, 0.7123893805309734, 120,
P3, 0.7671232876712328, 120,
P4, 0.7351598173515982, 120,
