P1;0.756637168;;;;;;;;;
P2;0.712389381;;;;;;;;;
P3;0.771689498;;;;;;;;;
P4;0.767123288;;;;;;;;;
P1;0.747787611;;;;;;;;;
P2;0.778761062;;;;;;;;;
P3;0.789954338;;;;;;P1;P2;P3;P4
P4;0.780821918;;;;;;0.756637168;0.712389381;0.771689498;0.767123288
P1;0.734513274;;;;;;;;;
P2;0.721238938;;;;;;;;;
P3;0.799086758;;;;;;;;;
P4;0.703196347;;;;;;;;;
P1;0.725663717;;;;;;;;;
P2;0.769911504;;;;;;;;;
P3;0.657534247;;;;;;;;;
P4;0.735159817;;;;;;;;;
P1;0.774336283;;;;;;;;;
P2;0.721238938;;;;;;;;;
P3;0.716894977;;;;;;;;;
P4;0.716894977;;;;;;;;;
P1;0.778761062;;;;;;;;;
P2;0.743362832;;;;;;;;;
P3;0.707762557;;;;;;;;;
P4;0.689497717;;;;;;;;;
P1;0.783185841;;;;;;;;;
P2;0.783185841;;;;;;;;;
P3;0.821917808;;;;;;;;;
P4;0.735159817;;;;;;;;;
P1;0.809734513;;;;;;;;;
P2;0.752212389;;;;;;;;;
P3;0.767123288;;;;;;;;;
P4;0.726027397;;;;;;;;;
